date,lhd_2010_code,lhd_2010_name,lga_code19,lga_name19,postcode,test_count,case_count
10/4/2021,X700,Sydney,17200,Sydney (C),2042,25,1
21/4/2021,X700,Sydney,17200,Sydney (C),2009,23,2
14/5/2021,X700,Sydney,17200,Sydney (C),2008,27,1
16/6/2021,X700,Sydney,17200,Sydney (C),2050,38,1
22/6/2021,X700,Sydney,17200,Sydney (C),2016,205,1
23/6/2021,X700,Sydney,17200,Sydney (C),2016,212,1
24/6/2021,X700,Sydney,17200,Sydney (C),2017,447,2
25/6/2021,X700,Sydney,17200,Sydney (C),2017,465,1
26/6/2021,X700,Sydney,17200,Sydney (C),2017,602,1
26/6/2021,X700,Sydney,17200,Sydney (C),2018,325,1
27/6/2021,X700,Sydney,17200,Sydney (C),2017,383,1
2/7/2021,X700,Sydney,17200,Sydney (C),2018,263,1
4/7/2021,X700,Sydney,17200,Sydney (C),2042,156,1
10/7/2021,X700,Sydney,17200,Sydney (C),2008,108,1
10/7/2021,X700,Sydney,17200,Sydney (C),2009,99,2
12/7/2021,X700,Sydney,17200,Sydney (C),2018,257,2
13/7/2021,X700,Sydney,17200,Sydney (C),2018,401,1
16/7/2021,X700,Sydney,17200,Sydney (C),2018,219,1
21/7/2021,X700,Sydney,17200,Sydney (C),2009,89,1
25/7/2021,X700,Sydney,17200,Sydney (C),2042,162,1
26/7/2021,X700,Sydney,17200,Sydney (C),2017,309,1
26/7/2021,X700,Sydney,17200,Sydney (C),2018,185,1
27/7/2021,X700,Sydney,17200,Sydney (C),2009,103,1
27/7/2021,X700,Sydney,17200,Sydney (C),2018,179,1
27/7/2021,X700,Sydney,17200,Sydney (C),2042,228,1
28/7/2021,X700,Sydney,17200,Sydney (C),2009,121,1
30/7/2021,X700,Sydney,17200,Sydney (C),2009,327,1
2/8/2021,X700,Sydney,17200,Sydney (C),2009,335,1
2/8/2021,X700,Sydney,17200,Sydney (C),2017,333,2
3/8/2021,X700,Sydney,17200,Sydney (C),2042,207,1
4/8/2021,X700,Sydney,17200,Sydney (C),2009,104,1
5/8/2021,X700,Sydney,17200,Sydney (C),2009,393,2
5/8/2021,X700,Sydney,17200,Sydney (C),2042,212,1
6/8/2021,X700,Sydney,17200,Sydney (C),2016,178,2
6/8/2021,X700,Sydney,17200,Sydney (C),2037,164,1
9/8/2021,X700,Sydney,17200,Sydney (C),2009,140,3
9/8/2021,X700,Sydney,17200,Sydney (C),2018,244,1
9/8/2021,X700,Sydney,17200,Sydney (C),2042,502,1
10/8/2021,X700,Sydney,17200,Sydney (C),2009,403,1
11/8/2021,X700,Sydney,17200,Sydney (C),2009,215,1
12/8/2021,X700,Sydney,17200,Sydney (C),2016,200,1
13/8/2021,X700,Sydney,17200,Sydney (C),2016,258,1
13/8/2021,X700,Sydney,17200,Sydney (C),2017,453,2
14/8/2021,X700,Sydney,17200,Sydney (C),2009,138,2
15/8/2021,X700,Sydney,17200,Sydney (C),2007,90,1
15/8/2021,X700,Sydney,17200,Sydney (C),2016,146,1
15/8/2021,X700,Sydney,17200,Sydney (C),2017,385,1
16/8/2021,X700,Sydney,17200,Sydney (C),2007,100,1
16/8/2021,X700,Sydney,17200,Sydney (C),2016,209,1
16/8/2021,X700,Sydney,17200,Sydney (C),2017,512,2
17/8/2021,X700,Sydney,17200,Sydney (C),2009,194,1
17/8/2021,X700,Sydney,17200,Sydney (C),2018,324,1
17/8/2021,X700,Sydney,17200,Sydney (C),2037,205,1
18/8/2021,X700,Sydney,17200,Sydney (C),2007,124,3
18/8/2021,X700,Sydney,17200,Sydney (C),2009,153,1
18/8/2021,X700,Sydney,17200,Sydney (C),2015,268,1
18/8/2021,X700,Sydney,17200,Sydney (C),2017,422,1
18/8/2021,X700,Sydney,17200,Sydney (C),2042,286,1
19/8/2021,X700,Sydney,17200,Sydney (C),2017,440,1
19/8/2021,X700,Sydney,17200,Sydney (C),2018,369,1
20/8/2021,X700,Sydney,17200,Sydney (C),2015,279,2
20/8/2021,X700,Sydney,17200,Sydney (C),2017,422,3
20/8/2021,X700,Sydney,17200,Sydney (C),2037,166,8
20/8/2021,X700,Sydney,17200,Sydney (C),2050,131,1
21/8/2021,X700,Sydney,17200,Sydney (C),2007,82,1
21/8/2021,X700,Sydney,17200,Sydney (C),2008,80,1
21/8/2021,X700,Sydney,17200,Sydney (C),2017,613,2
21/8/2021,X700,Sydney,17200,Sydney (C),2037,219,5
