date,source_overseas,source_locally_acquired_no_links,source_locally_acquired_linked,source_locally_acquired_investigation,source_interstate,test_count
9/6/2021,2,0,0,0,0,16979
1/1/2020,0,0,0,0,0,23
16/7/2021,7,3,90,14,0,68721
25/7/2020,6,1,11,0,0,14558
22/12/2020,8,0,5,0,0,61692
25/2/2020,0,0,0,0,0,256
26/5/2020,0,0,0,0,0,10107
20/2/2021,3,0,0,0,0,7456
8/9/2020,2,0,3,0,0,21141
25/11/2020,0,0,0,0,0,12562
25/10/2021,2,1,214,60,0,95482
3/9/2021,1,82,450,990,0,126375
5/11/2020,6,0,4,0,0,13433
21/4/2021,15,0,0,0,0,9451
12/4/2020,2,2,5,0,0,1164
12/9/2020,4,0,2,0,0,7360
2/3/2021,5,0,0,0,0,13560
23/10/2021,0,7,216,77,0,55777
19/11/2020,3,0,0,0,0,13742
29/8/2020,1,1,5,0,0,11071
1/6/2020,4,0,0,0,0,12514
22/8/2020,2,0,0,0,0,11616
8/10/2021,1,10,162,344,0,90574
11/5/2020,0,0,0,0,0,11293
10/12/2020,6,0,0,0,0,8675
9/3/2021,6,0,0,0,0,12470
10/8/2021,0,20,185,133,0,137551
3/3/2020,0,0,0,0,0,895
16/6/2020,0,0,0,0,0,17647
17/2/2021,1,0,0,0,0,16674
15/5/2021,2,0,0,0,0,6700
30/9/2020,3,1,0,0,0,10745
30/4/2020,8,1,6,0,0,8588
3/4/2021,1,0,0,0,0,4671
18/10/2020,6,0,0,0,0,5835
21/9/2021,1,76,445,600,1,118981
7/9/2021,0,98,379,924,0,130226
24/9/2020,2,0,0,0,0,11608
9/4/2021,5,0,0,0,0,7728
8/4/2020,10,9,23,0,2,4174
9/11/2020,5,0,0,0,0,25382
25/8/2020,0,2,4,0,0,30009
6/3/2021,1,0,0,0,0,5736
12/5/2020,0,3,2,0,0,11393
11/10/2021,1,13,146,211,1,95235
9/12/2020,9,0,0,0,0,10720
26/12/2020,5,0,8,0,0,16387
6/8/2020,0,0,10,0,1,27436
20/7/2021,2,1,68,36,0,79243
21/2/2020,0,0,0,0,0,194
28/5/2021,2,0,0,0,0,16387
2/11/2020,3,0,1,0,0,18510
13/9/2020,4,0,2,0,1,6665
15/4/2020,4,1,16,0,1,5880
20/4/2021,7,0,0,0,0,9460
4/9/2021,2,74,355,783,0,109356
24/6/2020,3,1,0,0,0,17403
27/3/2020,132,22,47,0,12,5610
18/8/2021,3,31,345,254,2,154854
7/5/2021,5,0,0,0,0,18286
24/1/2021,1,0,0,0,0,5264
14/1/2021,2,0,0,0,0,12338
14/6/2021,4,0,0,0,0,9396
20/7/2020,1,0,13,0,0,30478
24/1/2020,0,0,0,0,0,9
2/2/2020,0,0,0,0,0,38
11/7/2021,7,2,101,11,0,48234
6/4/2021,5,0,0,0,0,13038
27/9/2020,0,0,0,0,0,5044
18/9/2021,1,81,369,624,0,103550
19/10/2020,7,0,3,0,0,16197
29/4/2020,1,1,1,0,0,9486
25/4/2021,7,0,0,0,0,4584
28/1/2021,4,0,0,0,0,10013
22/8/2021,1,41,322,379,0,146895
23/3/2020,142,6,27,0,2,6183
6/7/2020,10,0,2,0,1,16780
24/9/2021,1,65,417,552,0,105862
11/10/2020,4,0,1,0,0,6122
23/3/2021,4,0,0,0,0,9177
21/10/2020,8,0,1,0,0,11951
27/4/2020,0,0,5,0,0,8735
13/4/2020,4,0,3,0,0,1665
11/9/2020,2,0,6,0,0,14328
2/9/2021,1,68,486,811,0,116165
4/11/2020,3,0,0,0,0,15084
22/4/2021,5,0,0,0,0,8569
26/6/2021,3,0,24,0,1,56761
21/6/2021,0,0,5,0,0,51783
13/7/2020,3,0,13,0,1,23993
3/1/2021,8,0,3,0,0,22223
13/2/2020,0,0,0,0,0,128
30/5/2021,2,0,0,0,0,8625
19/2/2020,0,0,0,0,0,189
28/12/2020,5,0,4,0,0,19343
4/8/2020,1,0,8,0,0,28010
26/7/2021,2,2,101,38,0,109708
23/9/2021,0,80,401,507,0,100793
10/10/2020,4,0,3,0,0,6517
24/3/2021,3,0,0,0,0,9552
24/10/2020,6,0,1,0,0,6074
24/4/2020,2,1,11,0,0,6543
1/2/2021,2,0,0,0,0,13023
19/3/2020,43,4,9,0,0,5688
26/8/2021,2,25,384,534,0,124669
2/7/2020,4,1,0,0,0,15052
29/4/2021,2,0,0,0,0,9740
4/10/2021,0,15,217,359,1,89195
6/12/2020,7,0,0,0,0,4624
21/3/2021,4,0,0,0,0,4307
15/5/2020,2,0,0,0,0,9664
10/8/2020,3,2,16,0,1,27628
25/4/2020,0,0,3,0,0,4514
22/9/2021,1,74,431,548,0,119256
9/10/2020,1,0,3,0,0,11138
25/3/2021,2,0,0,0,0,8110
23/10/2020,6,0,0,0,0,10306
2/1/2021,3,0,4,0,0,26203
18/6/2021,5,0,2,0,0,24031
20/1/2020,0,0,0,0,0,1
29/6/2021,8,1,22,0,0,59463
14/2/2020,0,0,0,0,0,102
16/7/2020,2,4,3,0,0,26516
21/11/2020,9,0,0,0,0,5637
4/3/2021,9,0,0,0,0,11230
30/5/2020,2,0,0,0,0,4800
21/10/2021,0,6,245,107,0,60929
27/8/2020,0,2,13,0,0,24567
4/2/2021,0,0,0,0,0,10990
11/6/2020,2,1,0,0,0,12805
28/7/2021,3,8,160,83,0,106565
20/5/2021,0,0,0,0,0,12351
16/3/2020,17,3,9,0,0,7108
20/9/2020,4,0,1,0,0,6131
13/11/2020,5,0,1,0,0,13402
4/4/2020,27,15,27,0,4,1890
13/4/2021,4,0,0,0,0,10092
11/9/2021,0,97,357,803,0,102334
30/3/2021,4,0,1,0,0,21135
14/10/2020,5,1,4,0,0,13842
4/5/2020,0,1,3,0,0,12001
4/10/2020,2,0,0,0,0,4208
17/9/2021,2,88,442,754,1,119386
17/10/2021,1,8,163,110,0,73509
31/8/2020,1,0,11,0,0,32730
28/2/2021,6,0,0,0,0,6839
3/6/2020,2,0,0,0,0,10673
17/11/2020,6,0,0,0,0,16215
5/10/2020,9,0,0,0,0,4729
29/3/2021,4,0,0,0,0,19566
26/9/2021,1,50,327,424,1,120296
21/4/2020,0,1,5,0,0,5891
27/10/2020,4,0,1,0,0,13255
8/6/2021,1,0,0,0,0,18654
23/12/2020,9,2,10,0,0,42057
2/1/2020,0,0,0,0,0,1
26/7/2020,3,1,5,0,0,9687
17/7/2021,5,1,79,14,0,62784
24/2/2020,0,0,0,0,0,286
26/4/2021,16,0,0,0,0,16633
27/1/2021,4,0,0,0,0,11916
24/3/2020,135,12,41,0,4,6325
5/7/2020,8,0,0,0,0,6166
21/8/2021,1,33,432,347,0,121134
11/11/2020,5,0,0,0,0,16382
11/4/2021,6,0,0,0,0,4462
6/4/2020,18,6,14,0,2,4329
22/9/2020,6,0,0,0,0,13458
13/9/2021,1,93,424,728,1,140993
24/2/2021,5,0,0,0,0,15034
22/5/2020,0,0,0,0,0,7485
29/11/2020,7,0,0,0,0,4050
4/9/2020,1,1,5,0,0,17421
30/11/2020,8,0,0,0,0,14514
16/8/2020,1,1,3,0,0,9202
15/3/2021,1,0,0,0,0,16931
21/5/2020,3,0,0,0,0,9289
2/10/2021,1,16,255,410,1,72426
16/2/2021,3,0,0,0,0,20155
9/8/2021,1,19,240,106,0,152296
15/6/2020,0,0,0,0,0,18008
16/5/2021,2,0,0,0,0,7095
4/3/2020,0,0,0,0,0,1142
22/1/2020,0,0,0,0,0,4
20/6/2021,1,0,2,0,0,27176
12/2/2020,0,0,0,0,0,123
27/6/2021,2,1,19,1,0,56497
4/1/2021,2,0,2,0,0,29158
14/7/2020,3,0,7,0,0,26250
8/7/2020,13,0,0,0,0,15608
23/4/2021,1,0,0,0,0,8160
26/1/2021,1,0,0,0,0,6002
24/8/2021,3,44,420,444,0,113998
25/3/2020,147,18,39,0,2,5673
2/12/2020,7,1,0,0,0,9821
17/3/2021,8,0,0,0,0,11839
30/9/2021,1,84,489,267,1,91380
19/5/2020,4,0,0,0,0,10483
14/8/2020,0,1,6,0,0,21524
8/2/2021,4,0,0,0,0,21216
7/6/2020,3,0,0,0,0,4413
12/3/2020,9,0,4,0,1,3476
24/5/2021,2,0,0,0,0,19476
1/8/2021,1,5,133,55,0,101106
8/1/2021,7,0,4,0,0,23342
8/2/2020,0,0,0,0,0,65
24/6/2021,1,0,21,0,0,58297
1/7/2021,4,0,27,0,0,54578
10/7/2020,5,0,2,0,1,13569
27/2/2020,0,0,0,0,0,344
18/7/2021,1,4,89,17,0,68758
20/12/2020,13,1,14,0,0,48387
